SH600589	2014-01-02	2014-06-30
SH600594	2014-01-02	2014-06-30
SH600594	2015-07-01	2019-06-30
SH600595	2014-01-02	2014-06-30
SH600595	2026-07-01	2026-09-03
SH600596	2014-01-02	2018-01-01
SH600597	2014-01-02	2024-06-30
SH600598	2014-01-02	2014-06-30
SH600598	2018-01-02	2026-09-03
SH600600	2014-01-02	2019-06-30
SH600600	2021-01-04	2026-09-03
SH600601	2014-01-02	2017-07-02
SH600601	2026-01-05	2026-09-03
SH600602	2026-01-05	2026-09-03
SH600606	2016-07-01	2024-06-30
SH600606	2025-01-02	2026-09-03
SH600611	2014-01-02	2020-01-01
SH600612	2014-01-02	2015-06-30
SH600612	2024-07-01	2026-01-04
SH600614	2014-01-02	2019-06-30
SH600616	2014-01-02	2015-06-30
SH600617	2015-07-01	2017-01-02
SH600618	2014-01-02	2019-06-30
SH600623	2016-07-01	2017-01-02
SH600623	2018-01-02	2024-01-01
SH600628	2014-01-02	2018-07-01
SH600633	2014-07-01	2022-02-06
SH600635	2014-01-02	2019-01-01
SH600636	2014-01-02	2016-01-03
SH600637	2014-01-02	2026-09-03
SH600639	2014-01-02	2022-06-30
SH600640	2014-01-02	2022-02-06
SH600642	2014-01-02	2017-01-02
SH600642	2017-07-03	2025-06-30
SH600642	2026-01-05	2026-09-03
SH600643	2014-01-02	2022-06-30
SH600645	2014-01-02	2022-02-06
SH600648	2014-01-02	2023-07-02
SH600649	2014-01-02	2022-06-30
SH600651	2014-01-02	2019-01-01
SH600654	2014-01-02	2016-06-30
SH600654	2017-01-03	2017-07-02
SH600655	2014-01-02	2019-06-30
SH600655	2020-01-02	2026-09-03
SH600657	2014-01-02	2022-06-30
SH600660	2014-01-02	2026-09-03
SH600663	2014-01-02	2019-01-01
SH600663	2019-07-01	2020-06-30
SH600663	2021-08-02	2026-09-03
SH600664	2014-01-02	2021-08-01
SH600666	2016-07-01	2017-07-02
SH600667	2020-07-01	2024-01-01
SH600673	2014-01-02	2026-06-30
SH600674	2014-01-02	2021-01-03
SH600674	2023-04-03	2026-09-03
SH600675	2014-01-02	2016-01-03
SH600675	2020-07-01	2021-08-01
SH600682	2016-07-01	2019-01-01
SH600683	2014-01-02	2015-01-04
SH600685	2014-01-02	2016-01-03
SH600685	2016-07-01	2018-07-01
SH600685	2025-01-02	2026-09-03
SH600687	2016-07-01	2019-06-30
SH600688	2014-01-02	2020-01-01
SH600688	2025-01-02	2026-09-03
SH600690	2014-01-02	2026-09-03
SH600694	2014-01-02	2021-01-03
